公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
广州华多网络科技有限公司,移动互联网,上市公司,"['技能培训', '节日礼物', '无息贷款', '绩效奖金']",2000人以上,番禺区,开发/测试/运维类,本科,"平台大,福利多",10k-17k,1-3年
广东优德科技有限公司,"移动互联网,企业服务",未融资,"['弹性工作', '节日礼物', '帅哥多', '技能培训']",少于15人,天河区,开发/测试/运维类,大专,人生苦短，我用Python,3K-5K,应届毕业生
广州爪挖信息科技有限公司,"移动互联网,医疗健康",不需要融资,"['绩效奖金', '年底双薪']",少于15人,越秀区,开发/测试/运维类,本科,djang,6k-12k,1-3年
广东链动网络科技有限公司,"移动互联网,电子商务",不需要融资,"['定期体检', '年度旅游', '节日礼物', '五险一金']",50-150人,海珠区,开发/测试/运维类,大专,"五险一金,福利齐全,项目奖金",12k-18k,3-5年
广州酷码教育咨询有限公司,教育,A轮,"['""""']",150-500人,天河区,其他,大专,"五险一金,绩效",3k-6k,应届毕业生
广东分子资产管理股份有限公司,"移动互联网,金融",未融资,[],15-50人,天河区,金融类,大专,"双休,14薪,绩效,奖金",10k-20k,1-3年
南京厚建软件有限责任公司广州分公司,"移动互联网,文化娱乐",不需要融资,"['技能培训', '节日礼物', '专项奖金', '带薪年假']",50-150人,番禺区,技术,大专,提升空间，年终奖，旅游文体活动，下午茶,8k-15k,1-3年
广州加研社科技有限公司,"企业服务,电子商务",不需要融资,"['弹性工作', '扁平管理', '技能培训', '绩效奖金']",15-50人,越秀区,开发/测试/运维类,本科,"绩效奖励,实习转正,公司培训",2k-4k,不限
广州网众未来信息技术有限公司,"移动互联网,广告营销",不需要融资,"['""""']",少于15人,海珠区,开发/测试/运维类,不限,后端工程师,12k-20k,1-3年
网鱼科技（广州）有限公司,移动互联网、电子商务,未融资,"['""""']",少于15人,天河区,开发/测试/运维类,不限,"快速成长,五险一金,挑战多",4k-8k,不限
蓝盾信息安全技术股份有限公司,信息安全,上市公司,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",500-2000人,天河区,开发/测试/运维类,本科,双休、晋升快,12k-22k,1-3年
长沙恭齐网络科技有限公司,"移动互联网,电子商务",上市公司,"['""""']",150-500人,天河区,开发/测试/运维类,大专,"周末双休,年底双薪,五险一金,带薪年假",4k-6k,应届毕业生
广州市电牛医药科技有限公司,电子商务,不需要融资,"['""""']",15-50人,番禺区,开发/测试/运维类,大专,"平台大,福利好,自主性强,时间自控",8k-10k,1-3年
南京厚建云计算有限公司广州分公司,移动互联网、企业服务,不需要融资,"['弹性工作', '五险一金', '岗位晋升', '年度旅游']",50-150人,番禺区,开发/测试/运维类,大专,"双休,下午茶,旅游,节日福利",8k-15k,1-3年
广东广业开元科技有限公司,"数据服务,企业服务",不需要融资,"['大数据', '股票期权', '绩效奖金', '定期体检']",50-150人,越秀区,开发/测试/运维类,大专,"发展平台好,优质项目,团队氛围好",10k-20k,3-5年
广州杰颉软件科技有限公司,"信息安全,数据服务",A轮,"['股票期权', '绩效奖金', '带薪年假', '弹性工作']",15-50人,天河区,开发/测试/运维类,不限,"薪资高,发展空间大,股权,丰富的活动",15k-20k,3-5年
武汉佰钧成技术有限责任公司,移动互联网,不需要融资,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,天河区,开发/测试/运维类,本科,"弹性上班,技术平台好,福利齐全",15k-25k,3-5年
广州优路网络科技有限公司,不限,未融资,"['""""']",少于15人,天河区,开发/测试/运维类,本科,"零食,大牛指导,小而美,开放文化",3k-6k,应届毕业生
深圳市学灯教育科技有限公司,"教育,数据服务",未融资,[],15-50人,天河区,开发/测试/运维类,大专,"年终奖,节假日福利,带薪年假,员工旅游",8K-12K,1-3年
广州鱼数科技有限公司,"电子商务,数据服务",不需要融资,[],15-50人,天河区,开发/测试/运维类,本科,"年底双薪,五险一金,项目奖金,成长快",15k-30k,3-5年
优视科技有限公司,移动互联网,D轮及以上,"['年度分红', '年度奖金', '股票期权', '每年2次加薪']",2000人以上,天河区,开发/测试/运维类,本科,"阿里平台,行业前沿",15k-30k,3-5年
广州头文科技有限公司,"移动互联网,企业服务",不需要融资,[],50-150人,番禺区,开发/测试/运维类,本科,"领导随和,同事可爱,扁平化管理,上升空间大",8k-15k,1-3年
广州航旅天空信息科技有限公司,"移动互联网,数据服务",上市公司,"['年底双薪', '专项奖金', '带薪年假', '绩效奖金']",50-150人,萝岗区,开发/测试/运维类,本科,"年终双薪,双休,包工作餐,年度普调",8k-12k,3-5年
广州动点网络科技有限公司,"移动互联网,电子商务",未融资,"['""""']",150-500人,天河区,开发/测试/运维类,大专,"周末双休,五险一金,节日福利,房补餐补",5k-9k,应届毕业生
万惠投资管理有限公司,金融,上市公司,"['互联网金融', '技能培训', '带薪年假', '充满挑战']",500-2000人,天河区,开发/测试/运维类,本科,"互联网金融,上市公司,下午茶,健身俱乐部",15k-25k,3-5年
广州市有车以后信息科技有限公司,移动互联网,C轮,"['股票期权', '带薪年假', '年度旅游', '弹性工作']",150-500人,海珠区,开发/测试/运维类,本科,"行业top,高成长,腾讯投资,团队好",9k-18k,1-3年
广东南方都市报经营有限公司,文化娱乐,不需要融资,"['带薪年假', '定期体检', '五险一金']",500-2000人,越秀区,开发/测试/运维类,本科,新机遇,10k-15k,1-3年
广州东冰网络科技有限公司,"移动互联网,电子商务",不需要融资,"['""""']",15-50人,天河区,开发/测试/运维类,大专,气氛好,5k-10k,3-5年
广州数说故事信息科技有限公司,数据服务,B轮,"['颜值高', '双休日', '高大上团建', '带薪假']",150-500人,天河区,开发/测试/运维类,本科,"五险一金,周末双休,年度体检,扁平管理",8k-15k,1-3年
信必优(深圳)信息技术有限公司,"移动互联网,电子商务",未融资,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",2000人以上,天河区,开发/测试/运维类,本科,外资环境,15k-23k,5-10年
